site,spp_1,species,count,day,month,season,year,time,sunrise,sunset,m_60
Carrowdore,Fox,Fox,1,21,1,winter,2014,00:04:00,08:33,16:42,-8.48
Cypress Wood,Fox,Fox,1,2,2,winter,2013,00:04:00,08:14,17:07,-8.02
Erik & Cecil's,Mouse,Wood mouse,1,24,11,autumn,2013,00:06:00,08:14,16:11,-8.13
Cooltrain,Mouse,Wood mouse,1,4,2,winter,2014,00:06:00,08:10,17:10,-8.07
Bowtown Road,Badger,Badger,1,7,2,winter,2014,00:05:00,08:05,17:17,-8
Cooltrain,Mouse,Wood mouse,1,4,2,winter,2014,00:19:00,08:10,17:10,-7.85
Lisnaskea Forest,Sika,Sika,1,20,11,autumn,2015,00:15:00,08:06,16:17,-7.85
Bowtown Road,Badger,Badger,1,8,2,winter,2014,00:15:00,08:03,17:19,-7.8
Lisnaskea Forest,Sika,Sika,1,20,11,autumn,2015,00:22:00,08:06,16:17,-7.73
Lisnaskea Forest,Sika,Sika,1,20,11,autumn,2015,00:24:00,08:06,16:17,-7.7
Lisnaskea Forest,Sika,Sika,1,22,11,autumn,2015,23:57:00,08:09,16:14,-7.7
Lisnaskea Forest,Sika,Sika,1,20,11,autumn,2015,00:26:00,08:06,16:17,-7.07
Lisnaskea Forest,Sika,Sika,1,13,11,autumn,2015,00:13:00,07:52,16:28,-7.65
Lisnaskea Forest,Sika,Sika,1,22,11,autumn,2015,23:52:00,08:09,16:14,-7.62
Lisnaskea Forest,Sika,Sika,1,22,11,autumn,2015,23:52:00,08:09,16:14,-7.62
Lisnaskea Forest,Sika,Sika,2,20,11,autumn,2015,00:30:00,08:06,16:17,-7.6
Bowtown Road,Badger,Badger,1,20,1,winter,2014,00:59:00,08:34,16:40,-7.58
Ballyboley,Fox,Fox,1,26,1,winter,2014,00:53:00,08:26,16:52,-7.55
Cooltrain,Mouse,Wood mouse,1,2,2,winter,2014,00:42:00,08:14,17:06,-7.53
Bowtown Road,Badger,Badger,1,23,1,winter,2014,01:01:00,08:30,16:46,-7.48
Lisnaskea Forest,Fox,Fox,1,22,11,autumn,2015,23:44:00,08:09,16:14,-7.48
Lisnaskea Forest,Sika,Sika,1,23,11,autumn,2015,00:43:00,08:11,16:13,-7.47
Castle Coole,Marten,Pine Marten,1,7,1,winter,2014,23:45:00,08:47,16:18,-7.43
Lisnaskea Forest,Sika,Sika,1,14,11,autumn,2015,23:53:00,07:54,16:26,-7.43
Magho,Marten,Pine Marten,1,23,2,winter,2014,00:05:00,07:30,17:50,-7.42
Bowtown Road,Badger,Badger,1,1,2,winter,2014,00:53:00,08:16,17:04,-7.38
Erik & Cecil's,Badger,Badger,1,19,11,autumn,2013,23:32:00,08:05,16:18,-7.22
Ballygrangee Manor,Fox,Fox,1,2,11,autumn,2013,23:57:00,08:33,16:43,-7.22
Curragh,Mouse,Wood mouse,1,28,2,winter,2014,00:05:00,07:18,18:00,-7.22
Bowtown Road,Badger,Badger,1,5,2,winter,2014,01:01:00,08:08,17:12,-7.12
Carrowdore,Fox,Fox,1,21,1,winter,2014,01:27:00,08:33,16:42,-7.1
Lisnaskea Forest,Sika,Sika,4,23,11,autumn,2015,01:06:00,08:11,16:13,-7.08
Lisnaskea Forest,Sika,Sika,1,21,11,autumn,2015,01:05:00,08:07,16:16,-7.03
Lisnaskea Forest,Marten,Pine Marten,1,11,11,autumn,2015,23:33:00,07:48,16:31,-7.02
Lisnaskea Forest,Sika,Sika,1,23,11,autumn,2015,01:10:00,08:11,16:13,-7.02
Cooltrain,Mouse,Wood mouse,1,4,2,winter,2014,01:10:00,08:10,17:10,-7
Lisnaskea Forest,Marten,Pine Marten,1,11,11,autumn,2015,23:31:00,07:48,16:31,-6.98
Curragh,Mouse,Wood mouse,1,28,2,winter,2014,00:21:00,07:18,18:00,-6.95
Mount Stewart,Badger,Badger,1,5,3,spring,2014,00:10:00,07:06,18:10,-6.93
